2025-09-27 15:37:45,812 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-27 15:45:25,502 - 输入参数: [5.35705061e+04 4.68802633e+04 1.63829661e+02 7.02333093e+02
 3.91008205e+05 8.81382591e+05], 计算结果: 546.1263148807233
2025-09-27 15:45:31,153 - 输入参数: [4.39328757e+03 1.54625565e+04 2.66654718e+02 3.41028918e+02
 2.78049267e+05 5.70962287e+04], 计算结果: 1739.7691450845564
2025-09-27 15:45:44,617 - 输入参数: [6.93369921e+04 6.87317429e+04 2.07379492e+02 9.60351060e+02
 8.07255537e+05 9.19374083e+05], 计算结果: 500.59079288693147
2025-09-27 15:45:57,667 - 输入参数: [7.90045403e+04 8.91973767e+04 8.36123864e+02 3.00193211e+02
 4.09504535e+05 7.18596987e+04], 计算结果: 1107.2379696330008
2025-09-27 15:46:07,999 - 输入参数: [1.80691957e+04 4.25785666e+04 1.77921355e+01 7.32418229e+02
 6.03363520e+05 1.01720757e+05], 计算结果: 668.1136485790553
2025-09-27 15:46:20,482 - 输入参数: [8.68160688e+04 5.31409955e+04 5.99357409e+02 5.46341830e+02
 5.37527731e+05 6.49710753e+05], 计算结果: 524.6908560401771
2025-09-27 15:46:27,804 - 输入参数: [4.84497374e+03 4.36889743e+04 8.97617411e+02 1.06442364e+02
 2.51541669e+05 1.29896112e+05], 计算结果: 836.9365890248273
2025-09-27 15:46:33,471 - 输入参数: [5.50307234e+03 1.54243635e+04 2.20842994e+02 5.88776440e+02
 6.04223431e+04 7.56718530e+05], 计算结果: 1435.8238128173605
2025-09-27 15:46:45,140 - 输入参数: [6.30356403e+04 7.50661170e+04 1.37919984e+02 3.51835886e+02
 1.57043891e+05 6.30606444e+05], 计算结果: 634.8355152817592
2025-09-27 15:46:55,899 - 输入参数: [6.30152857e+04 3.52281595e+04 7.49768582e+02 4.75150606e+02
 7.37904669e+05 2.63836606e+05], 计算结果: 496.3416725496003
2025-09-27 15:47:04,812 - 输入参数: [ 32822.8123708   33012.78806989    832.67731503    900.92381498
  91850.26850565 513675.73881652], 计算结果: 687.7550932936101
2025-09-27 15:47:16,873 - 输入参数: [ 76305.54507729  88674.36617612    943.99843379    662.04089049
  95425.86404807 246302.5504269 ], 计算结果: 998.5936091702208
2025-09-27 15:47:29,775 - 输入参数: [ 74772.18284365  79325.5262704     912.58091048    843.46816251
 571479.81918816 823790.06202864], 计算结果: 526.8953874911543
2025-09-27 15:47:41,579 - 输入参数: [ 98218.4558519   97888.87496431    908.33348053    461.02737637
 355957.69306462 434870.23822245], 计算结果: 591.3698015643486
2025-09-27 15:47:53,740 - 输入参数: [6.38911901e+04 4.47959512e+04 9.42855901e+02 3.08665349e+02
 9.05981792e+05 4.40035656e+05], 计算结果: 513.4274708990882
2025-09-27 15:48:05,751 - 输入参数: [7.35431381e+04 9.01705898e+04 2.11775587e+01 8.44208033e+01
 7.64454013e+05 3.70093409e+05], 计算结果: 547.0741416772704
2025-09-27 15:48:16,288 - 输入参数: [ 30672.68950321  42898.23283545   1000.              0.
 209657.87924451 686835.36403593], 计算结果: 479.04630197135
2025-09-27 15:48:28,644 - 输入参数: [6.45131771e+04 6.97718942e+04 4.42853656e+02 0.00000000e+00
 5.64656200e+05 6.10379825e+05], 计算结果: 507.2775690033876
2025-09-27 15:48:40,887 - 输入参数: [0.00000000e+00 4.14945574e+04 2.03101267e+02 1.43754428e+02
 5.01888942e+05 6.10591245e+05], 计算结果: 735.1906597919453
2025-09-27 15:48:53,167 - 输入参数: [4.03045340e+04 0.00000000e+00 0.00000000e+00 3.66338294e+02
 8.26705372e+05 4.80853140e+05], 计算结果: 881.323461417349
2025-09-27 15:49:05,828 - 输入参数: [6.11318226e+04 9.05369418e+04 0.00000000e+00 3.06153011e+02
 5.34534613e+05 7.41290682e+05], 计算结果: 513.0032090662395
2025-09-27 15:49:17,929 - 输入参数: [6.63442570e+04 3.51069333e+04 3.23973634e+01 1.01055867e+02
 5.43241827e+05 5.25013990e+05], 计算结果: 484.09717415307193
2025-09-27 15:49:30,674 - 输入参数: [ 47551.33824247  24398.71913395      0.              0.
 490959.31895321 918572.9278959 ], 计算结果: 525.5352543379977
2025-09-27 15:49:41,307 - 输入参数: [4.64646776e+04 9.11110767e+04 3.11956728e+01 0.00000000e+00
 2.24015339e+05 4.68608309e+05], 计算结果: 493.94607213540115
2025-09-27 15:49:55,028 - 输入参数: [0.00000000e+00 5.34169004e+04 1.00000000e+03 8.46805169e+02
 1.00000000e+06 8.91307335e+05], 计算结果: 805.9118942074118
2025-09-27 15:50:05,331 - 输入参数: [7.78568984e+04 4.30474946e+03 3.97720050e+01 0.00000000e+00
 8.37876869e+05 2.49867886e+05], 计算结果: 419.9097910122267
2025-09-27 15:50:18,757 - 输入参数: [1.00000000e+05 7.46620275e+04 9.20155368e+02 8.83366231e+02
 6.03783735e+05 1.00000000e+06], 计算结果: 528.2870167328208
2025-09-27 15:50:30,317 - 输入参数: [7.89718298e+04 5.51497514e+04 0.00000000e+00 9.78339100e+01
 4.53652050e+05 8.79050671e+04], 计算结果: 841.4915982523514
2025-09-27 15:50:46,158 - 输入参数: [1.00000000e+05 6.27523491e+04 6.94819356e+01 5.99311124e+02
 0.00000000e+00 5.36932495e+05], 计算结果: 2061.2105923167956
2025-09-27 15:50:58,034 - 输入参数: [3.93579358e+04 1.02410603e+04 0.00000000e+00 3.03211934e+02
 5.70576037e+05 4.81948302e+05], 计算结果: 637.5355578190776
2025-09-27 15:51:11,128 - 输入参数: [8.17834963e+04 5.09033245e+04 1.81470434e+02 9.75587206e+02
 5.72479467e+05 1.00000000e+06], 计算结果: 534.5631529257645
2025-09-27 15:51:23,557 - 输入参数: [6.13044819e+04 1.00000000e+05 5.21890401e+02 8.68456287e+01
 5.18111399e+05 5.89504040e+05], 计算结果: 526.9263432889152
2025-09-27 15:51:38,590 - 输入参数: [1.00000000e+05 1.28686906e+04 0.00000000e+00 6.83048327e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 11899.97199033836
2025-09-27 15:51:51,925 - 输入参数: [2.11129000e+04 1.66036494e+04 9.18210109e+02 2.82694707e+02
 9.28648216e+05 7.85181460e+05], 计算结果: 692.5247961680002
2025-09-27 15:52:04,861 - 输入参数: [7.83518813e+04 4.32320326e+04 8.72589888e+01 4.83052979e+02
 8.76606880e+05 6.50511650e+05], 计算结果: 501.6684279734608
2025-09-27 15:52:16,982 - 输入参数: [4.55191107e+04 0.00000000e+00 6.48336105e+02 0.00000000e+00
 2.90188886e+05 1.00000000e+06], 计算结果: 879.5362378868793
2025-09-27 15:52:29,212 - 输入参数: [1.00000000e+05 3.51784757e+04 5.49611337e+01 4.13431158e+02
 5.57251865e+05 5.55230718e+05], 计算结果: 516.7163220869626
2025-09-27 15:52:35,135 - 输入参数: [1.00000000e+05 7.59118433e+03 1.00000000e+03 2.78256366e+00
 8.96328792e+05 5.16376853e+04], 计算结果: 538.3877479578398
2025-09-27 15:52:47,210 - 输入参数: [  62779.85156532   54839.06910473       0.               0.
 1000000.          404432.03130293], 计算结果: 490.95218344238975
2025-09-27 15:52:58,953 - 输入参数: [8.02566727e+04 3.77560178e+04 3.05875103e+02 1.22044216e+02
 5.61572023e+05 3.91161799e+05], 计算结果: 471.12900977026794
2025-09-27 15:53:10,999 - 输入参数: [2.34105118e+03 5.30569801e+04 0.00000000e+00 6.61687745e+02
 8.32634854e+05 4.44545804e+05], 计算结果: 752.8576119772763
2025-09-27 15:53:23,401 - 输入参数: [ 97666.58712166 100000.           1000.            787.15010546
 689785.03274164 308946.59655622], 计算结果: 612.6571297381647
2025-09-27 15:53:36,511 - 输入参数: [8.85867854e+04 5.92523428e+04 1.79128783e+02 2.18034700e+02
 1.00000000e+06 6.62802287e+04], 计算结果: 1203.5017881944482
2025-09-27 15:53:44,419 - 输入参数: [7.55707096e+04 2.82927500e+04 8.51626908e+01 1.00000000e+03
 5.80934345e+05 1.32327786e+05], 计算结果: 444.818374845945
2025-09-27 15:53:56,536 - 输入参数: [5.77203339e+04 3.71391288e+04 0.00000000e+00 5.47277903e+01
 6.95747842e+05 5.34747782e+05], 计算结果: 482.39382296464817
2025-09-27 15:54:11,418 - 输入参数: [1.00520958e+04 5.51508432e+04 1.40334619e+02 4.52745550e+02
 0.00000000e+00 6.21914388e+05], 计算结果: 5566.980581793338
2025-09-27 15:54:27,068 - 输入参数: [ 61043.72284048  66499.78926799      0.              0.
 389755.95189577      0.        ], 计算结果: 2894.8171453643477
2025-09-27 15:54:38,579 - 输入参数: [ 98620.24309012 100000.            899.16678544      0.
 386756.54525547 260787.65470233], 计算结果: 659.0595266536919
2025-09-27 15:54:48,181 - 输入参数: [4.77332490e+04 2.39924018e+04 0.00000000e+00 3.26155534e+02
 4.76957407e+05 2.42190623e+05], 计算结果: 451.95168714370254
2025-09-27 15:55:01,649 - 输入参数: [3.39213455e+04 2.25436902e+04 4.82434527e+02 1.85259563e+02
 8.79821114e+05 1.00000000e+06], 计算结果: 531.5536143882289
2025-09-27 15:55:15,088 - 输入参数: [  62608.11525827   32162.05671843       0.               0.
  836674.08984443 1000000.        ], 计算结果: 489.8529255972994
2025-09-27 15:55:20,103 - 输入参数: [6.00242177e+03 4.58755784e+03 8.67279557e+02 3.35331657e+02
 3.78793736e+05 4.60147676e+04], 计算结果: 2324.3439361067794
2025-09-27 15:55:32,103 - 输入参数: [     0.          35762.48910786    914.67291311    900.8513462
 755477.67743611 453177.94754008], 计算结果: 1103.5478719670436
2025-09-27 15:55:43,593 - 输入参数: [5.78416698e+04 3.47706552e+04 9.75231925e+02 3.43806867e+02
 2.51008166e+05 6.60796045e+05], 计算结果: 567.4546486667589
